;Nom;Commune;Type;Coord_X;Coord_Y;IsLyon;Category
455;Stade des Peupliers;Villeurbanne;Terrain de football;4.90031;45.7774;True;FootBall
456;Stade des Peupliers;Villeurbanne;Dojo / Salle d'arts martiaux;4.90194;45.77929;True;Arts martiaux
457;Complexe Dominique Mateo;Villeurbanne;Terrain de football;4.88598;45.78017;True;FootBall
458;Gymnase du Tonkin;Villeurbanne;Salle multisports (gymnase);4.86471;45.77629;True;Gymnase
459;Complexe des Iris;Villeurbanne;Court de tennis;4.89756;45.76794;True;Tennis
460;Ecole Edouard Herriot;Villeurbanne;Salle multisports (gymnase);4.8746;45.76578;True;Gymnase
461;Ecole Albert Camus;Villeurbanne;Plateau EPS/Multisports/city-stades;4.91075;45.75453;True;Autres
567;Institution des Chartreux;Lyon 1er Arrondissement;Salle de gymnastique sportive;4.82256;45.77186;True;Gymnase
568;Institution des Chartreux;Lyon 1er Arrondissement;Terrain de handball;4.823723;45.770671;True;Handball
569;Boulodrome;Lyon 1er Arrondissement;Terrain de boules;4.82013;45.76908;True;Pétanque
570;Complexe Sportif Duplat Genety;Lyon 1er Arrondissement;Plateau EPS/Multisports/city-stades;4.82029;45.772;True;Autres
571;Patinoire Charlemagne;Lyon 2e Arrondissement;Aire de sports de glace sportive;4.820206;45.741875;True;Autres
572;Terrain Carnot;Lyon 2e Arrondissement;Plateau EPS/Multisports/city-stades;4.82809;45.75029;True;Autres
573;Ateliers Pilates;Lyon 2e Arrondissement;Salle de cours collectifs;4.83127;45.75422;True;Salle de sport
574;Institut Jacques Bernard;Lyon 2e Arrondissement;Salle de cours collectifs;4.834624;45.75863;True;Salle de sport
575;Ecole Primaire Condé;Lyon 2e Arrondissement;Terrain de basket-ball;4.83109;45.75086;True;BasketBall
576;Boule Ravat Perrachoise Brp;Lyon 2e Arrondissement;Terrain de boules;4.81684;45.74659;True;Pétanque
577;Gymnase Tony Bertrand;Lyon 3e Arrondissement;Salle multisports (gymnase);4.87765;45.74969;True;Gymnase
578;Ecole Primaire Montbrillant;Lyon 3e Arrondissement;Salle de basket;4.870474;45.750631;True;BasketBall
579;Ecole Primaire Louise;Lyon 3e Arrondissement;Terrain de basket-ball;4.88602;45.74902;True;BasketBall
580;Complexe Sportif Paul Bert;Lyon 3e Arrondissement;Salle de boxe;4.86316;45.75706;True;Arts martiaux
581;Gym Sport Loisir;Lyon 3e Arrondissement;Salle de cours collectifs;4.84477;45.76381;True;Salle de sport
582;Judo Club du Rhône;Lyon 3e Arrondissement;Salle de musculation/cardiotraining;4.843812;45.75661;True;Salle de sport
583;Halle des Sports;Lyon 3e Arrondissement;Salle multisports (gymnase);4.85935;45.75481;True;Gymnase
584;Piscine Garibaldi;Lyon 3e Arrondissement;Bassin mixte de natation;4.85321;45.75562;True;Natation
585;Collège Privé Saint Charles de Serin;Lyon 4e Arrondissement;Structure Artificielle d'Escalade;4.81268;45.77585;True;Escalade
586;Cité Scolaire Antoine de Saint Exupéry;Lyon 4e Arrondissement;Salle multisports (gymnase);4.82143;45.78087;True;Gymnase
587;Tennis Club Croix Rousse-Tccr Annexe;Lyon 4e Arrondissement;Court de tennis;4.81875;45.7772;True;Tennis
588;Lyon Plage;Lyon 4e Arrondissement;Salle de musculation/cardiotraining;4.812012;45.780692;True;Salle de sport
589;Lyon Plage;Lyon 4e Arrondissement;Salle de cours collectifs;4.812012;45.780692;True;Salle de sport
590;Groupe Scolaire Notre Dame des Minimes;Lyon 5e Arrondissement;Stade d’athlétisme;4.78976;45.758;True;Athlétisme
591;Groupe Scolaire Notre Dame des Minimes;Lyon 5e Arrondissement;Salle multisports (gymnase);4.78931;45.75948;True;Gymnase
592;Tennis Club Municipal du 5Ème-Tcms Site Aqueducs;Lyon 5e Arrondissement;Court de tennis;4.79098;45.7584;True;Tennis
593;Ecole Primaire Albert Camus;Lyon 5e Arrondissement;Terrain de basket-ball;4.81907;45.75809;True;BasketBall
594;Collége Privé Saint Marc;Lyon 5e Arrondissement;Salle multisports (gymnase);4.81207;45.75025;True;Gymnase
595;Stade Saint Marc;Lyon 5e Arrondissement;Plateau EPS/Multisports/city-stades;4.80067;45.7584;True;Autres
596;Gymnase Thezillat;Lyon 5e Arrondissement;Salle multisports (gymnase);4.82016;45.76399;True;Gymnase
597;Gymnase Charcot;Lyon 5e Arrondissement;Plateau EPS/Multisports/city-stades;4.80565;45.75251;True;Autres
598;Gymnase Charcot;Lyon 5e Arrondissement;Aire de saut;4.80518;45.75246;True;Athlétisme
599;Gymnase Branly;Lyon 5e Arrondissement;Terrain de volley-ball;4.79154;45.75148;True;VolleyBall
600;Gymnase Branly;Lyon 5e Arrondissement;Structure Artificielle d'Escalade;4.79141;45.75059;True;Escalade
601;Gymnase Eisenhower;Lyon 5e Arrondissement;Piste d'athlétisme isolée;4.78011;45.75067;True;Athlétisme
602;Cercle Bouliste du Point du Jour;Lyon 5e Arrondissement;Terrain de boules;4.79586;45.75699;True;Pétanque
603;Cercle Bouliste du Point du Jour;Lyon 5e Arrondissement;Terrain de boules;4.79567;45.75692;True;Pétanque
604;Complexe Sportif Tronchet;Lyon 6e Arrondissement;Aire de lancer;4.85576;45.77154;True;Athlétisme
605;Complexe Sportif Tronchet;Lyon 6e Arrondissement;Salle multisports (gymnase);4.85844;45.77088;True;Gymnase
606;Collège Notre Dame de Bellecombe;Lyon 6e Arrondissement;Salle de tennis de table;4.86241;45.76723;True;Tennis de table
607;Judo Club Lugdunum;Lyon 6e Arrondissement;Dojo / Salle d'arts martiaux;4.865462;45.766346;True;Arts martiaux
608;Salle Bossuet;Lyon 6e Arrondissement;Salle de gymnastique sportive;4.84956;45.76778;True;Gymnase
609;Salle du Masque Fer;Lyon 6e Arrondissement;Salle d'escrime;4.84878;45.77068;True;Autres
610;Stade Edgar Quinet;Lyon 6e Arrondissement;Terrain de basket-ball;4.84632;45.76533;True;BasketBall
611;Gymnase Viricel;Lyon 6e Arrondissement;Structure Artificielle d'Escalade;4.85356;45.76686;True;Escalade
612;Gymnase Pradel;Lyon 6e Arrondissement;Salle multisports (gymnase);4.86197;45.7674;True;Gymnase
613;Piscine Tronchet;Lyon 6e Arrondissement;Bassin sportif de natation;4.85838;45.77094;True;Natation
614;Boules du Parc Stade Louis Pradel;Lyon 6e Arrondissement;Terrain de boules;4.85691;45.78418;True;Pétanque
615;Piscine du Rhône;Lyon 7e Arrondissement;Bassin ludique de natation;4.83843;45.7545;True;Natation
616;Complexe Sportif Benjamin Delessert;Lyon 7e Arrondissement;Dojo / Salle d'arts martiaux;4.83993;45.74029;True;Arts martiaux
617;Bouliste Club Saint Louis;Lyon 7e Arrondissement;Terrain de boules;4.84881;45.75129;True;Pétanque
618;Piscine de Gerland1;Lyon 7e Arrondissement;Bassin sportif de natation;4.83082;45.72503;True;Natation
619;Le Jean Jaurès;Lyon 7e Arrondissement;Salle de musculation/cardiotraining;4.843083;45.74775;True;Salle de sport
620;Olympe Gym;Lyon 7e Arrondissement;Salle de musculation/cardiotraining;4.842175;45.753705;True;Salle de sport
621;Elixia-Centre Odyssée;Lyon 7e Arrondissement;Salle de cours collectifs;4.85255;45.752;True;Salle de sport
622;Elixia-Centre Odyssée;Lyon 7e Arrondissement;Salle de cours collectifs;4.852554;45.752003;True;Salle de sport
623;Ecole Primaire Berthelot;Lyon 7e Arrondissement;Salles polyvalentes / des fêtes / non spécialisées;4.83663;45.74683;True;Gymnase
624;Stade des Channees;Lyon 7e Arrondissement;Aire de saut;4.83073;45.737;True;Athlétisme
625;Stade des Channees;Lyon 7e Arrondissement;Terrain de basket-ball;4.83102;45.73697;True;BasketBall
626;Cité Scolaire Internationale;Lyon 7e Arrondissement;Salle multisports (gymnase);4.82164;45.72653;True;Gymnase
627;Stand de Tir de Lyon Sport Métropole;Lyon 7e Arrondissement;Pas de tir à la cible;4.82472;45.72023;True;Tir
628;Plaine de Jeux de Gerland;Lyon 7e Arrondissement;Salle de boxe;4.82627;45.72129;True;Arts martiaux
629;Plaine de Jeux de Gerland;Lyon 7e Arrondissement;Terrain de football;4.82983;45.72077;True;FootBall
630;Plaine de Jeux de Gerland;Lyon 7e Arrondissement;Court de tennis;4.82816;45.72056;True;Tennis
631;Plaine de Jeux de Gerland;Lyon 7e Arrondissement;Court de tennis;4.82806;45.72065;True;Tennis
633;Stade de Gerland;Lyon 7e Arrondissement;Piste d'athlétisme isolée;4.83375;45.72576;True;Athlétisme
634;Stade de Gerland;Lyon 7e Arrondissement;Stade d’athlétisme;4.82962;45.72344;True;Athlétisme
635;Palais des Sports;Lyon 7e Arrondissement;Salles polyvalentes / des fêtes / non spécialisées;4.82892;45.72434;True;Gymnase
636;Ens - Site Descartes;Lyon 7e Arrondissement;Salle de danse;4.83456;45.73411;True;Danse
637;Ecole Primaire Jean Pierre Veyet;Lyon 7e Arrondissement;Terrain de basket-ball;4.85048;45.74899;True;BasketBall
639;Ecole Primaire Combe Blanche;Lyon 8e Arrondissement;Salle de basket;4.86593;45.73858;True;BasketBall
640;Ecole Élémentaire Louis Pasteur A;Lyon 8e Arrondissement;Plateau EPS/Multisports/city-stades;4.88354;45.7283;True;Autres
641;Ecole Primaire Jean Giono;Lyon 8e Arrondissement;Plateau EPS/Multisports/city-stades;4.87517;45.72745;True;Autres
642;Groupe Scolaire Louis Pasteur B;Lyon 8e Arrondissement;Plateau EPS/Multisports/city-stades;4.88341;45.73099;True;Autres
643;Ecole Elementaire Charles Peguy;Lyon 8e Arrondissement;Plateau EPS/Multisports/city-stades;4.86424;45.73458;True;Autres
644;Avenir Laique Bachut Etats-Unis/Albeu;Lyon 8e Arrondissement;Terrain de boules;4.8676;45.73327;True;Pétanque
645;Halle 3D;Lyon 8e Arrondissement;Structure Artificielle d'Escalade;4.88782;45.73743;True;Escalade
646;Lycée la Martinière Monplaisir;Lyon 8e Arrondissement;Salle multisports (gymnase);4.872766;45.740273;True;Gymnase
647;Gymnase Nelson Paillou;Lyon 8e Arrondissement;Salle multisports (gymnase);4.86092;45.7297;True;Gymnase
648;Gymnase Nelson Paillou;Lyon 8e Arrondissement;Piste d'athlétisme isolée;4.86149;45.72977;True;Athlétisme
649;Stade du Clos Layat;Lyon 8e Arrondissement;Terrain de football;4.84982;45.72659;True;FootBall
650;Gymnase Colbert;Lyon 8e Arrondissement;Terrain de volley-ball;4.85978;45.74606;True;VolleyBall
651;Stade Saez;Lyon 8e Arrondissement;Plateau EPS/Multisports/city-stades;4.88369;45.73457;True;Autres
652;Stade Saez;Lyon 8e Arrondissement;Piste d'athlétisme isolée;4.88369;45.73457;True;Athlétisme
653;Stade Saez;Lyon 8e Arrondissement;Terrain de football;4.88368;45.73456;True;FootBall
654;Stade Bavozet;Lyon 8e Arrondissement;Piste d'athlétisme isolée;4.87804;45.72948;True;Athlétisme
655;Stade Bavozet;Lyon 8e Arrondissement;Aire de saut;4.87746;45.72905;True;Athlétisme
656;Club Victor Hugo;Lyon 8e Arrondissement;Salle de musculation/cardiotraining;4.86725;45.73707;True;Salle de sport
657;Lycée Auguste et Louis Lumière;Lyon 8e Arrondissement;Salle multisports (gymnase);4.86136;45.73575;True;Gymnase
658;Lycée Privé la Xavière;Lyon 8e Arrondissement;Terrain de handball;4.85183;45.72753;True;Handball
659;Lycée Privé la Xavière;Lyon 8e Arrondissement;Salle multisports (gymnase);4.85183;45.72753;True;Gymnase
660;Lycée la Martinière Duchère;Lyon 9e Arrondissement;Salle de musculation/cardiotraining;4.79805;45.78603;True;Salle de sport
661;Collège de Vaise;Lyon 9e Arrondissement;Plateau EPS/Multisports/city-stades;4.80325;45.77303;True;Autres
662;Tennis Club du Fort-Lyon 9Ème;Lyon 9e Arrondissement;Salle de tennis de table;4.79748;45.78884;True;Tennis de table
